Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Europe,Central & Eastern Europe,Moldova,5.6,5.2,7.5,4.5,7.5,3,2,4,3.5,2.5,5,5,7.5,8,5,7.5,5.5,6,5,5,8,5,7,3.92,4,4,5,5,3,4,3.5,3.5,4,4,3,4
Africa,Southern Africa,Lesotho,3.92,3.43,4,3.5,4,1,3,6,3.5,5,5.5,3.5,1,5,1,3.5,2,4.4,3,5.5,6,5,2.5,3.92,4,3.5,7,5,3,3,3,4,4,3.5,3.5,3.5
Asia,Southern Asia,Pakistan,6.03,6.27,8,7.5,8.5,4.5,5.5,5.5,8.5,3,7,7,5,7,4.5,6,6.5,5.8,6,7,7.5,4,4.5,3.96,3.5,3.5,5,5,3,4.5,4,4,3.5,3.5,4,4
Asia,Central Asia and the Caucasus,Azerbaijan,4.8,4.1,4.5,3,3,3,3.5,5,6.5,1.5,5.5,5,3,5,5,4,4,5.5,5.5,5.5,7.5,6,3,3.96,3.5,3,5,4,2.5,4.5,4,4,4.5,4,5,3.5
Asia,Southern Asia,Nepal,6.57,6.03,8,7.5,6,7,7,7.5,4.5,4,6,4.5,3,7,7.5,4.5,6.5,7.1,5.5,7.5,7.5,7.5,7.5,4,3.5,2.5,5.5,4.5,3,4.5,4.5,3.5,4,4.5,4,4
Asia,Western Asia,Saudi Arabia,6.23,6.57,8,7.5,8,5,7.5,7.5,6.5,5.5,6.5,9,7.5,8,6,4,2,5.9,3,6.5,8.5,3.5,8,4,3.5,2.5,5,4,3,4,5,5.5,5,4,4.5,2
Americas,South America,Guyana,5.97,5.13,5.5,4.5,6,4.5,3.5,9,3,8.5,3.5,3.5,2,8.5,4,4,7,6.8,6,5,8,7,8,4.04,4,3,5,3.5,4,3,4,4,4.5,5,4.5,4
Africa,West Africa,Sierra Leone,4.95,4.6,5,4,3.5,7,6.5,7,2.5,5.5,7,6,1.5,4,4,3.5,2,5.3,2.5,6,6.5,7.5,4,4.04,4.5,4,5,3.5,3,4,4.5,4.5,3.5,3,4,5
Americas,Caribbean & Central,Honduras,7.05,6,7,6.5,6.5,7,6.5,5,2,8.5,7.5,3.5,6.5,7.5,3.5,4,8.5,8.1,8.5,7.5,8.5,8,8,4.08,3,3.5,6.5,4,3.5,5,4.5,4,3.5,3,4.5,4
Americas,Caribbean & Central,Guatemala,6.6,6.1,7,7.5,7,4.5,4.5,3,7.5,8.5,6,6,5,6.5,5.5,5,8,7.1,7.5,6,8,8,6,4.08,3,3.5,5.5,4.5,3.5,5,3.5,4.5,4,4,4,4
